timestamp,epic_id,update_type,platform,message,author
2024-01-25T16:00:00Z,PROJ-006,status_change,,상태 변경: kickoff - 킥오프 미팅 완료,@Grace Wilson
2024-01-25T15:30:00Z,PROJ-001,progress,JS,80% 완료 - 리스트 렌더링 최적화 완료,@Carol Lee
2024-01-25T14:45:00Z,PROJ-004,comment,,QA 테스트에서 오프라인 동기화 이슈 발견,@David Park
2024-01-25T14:00:00Z,PROJ-003,progress,iOS,100% 완료 - 음성 메시지 녹음 및 재생 구현 완료,@Grace Wilson
2024-01-25T10:30:00Z,PROJ-001,comment,JS,WebSocket 연결 안정성 개선 필요,@Carol Lee
2024-01-25T09:00:00Z,PROJ-003,status_change,,상태 변경: development → code_review,@Grace Wilson
2024-01-24T17:00:00Z,PROJ-001,blocker,Android,RecyclerView 성능 이슈로 인한 블로커,@Bob Smith
2024-01-24T16:30:00Z,PROJ-001,resolved,Android,RecyclerView DiffUtil 적용으로 해결,@Bob Smith
2024-01-24T15:20:00Z,PROJ-002,comment,,백엔드 API 스펙 변경 가능성 있음,@Alice Kim
2024-01-24T14:00:00Z,PROJ-004,progress,iOS,95% 완료 - 동기화 로직 구현 완료,@Grace Wilson
2024-01-24T11:00:00Z,PROJ-001,progress,iOS,70% 완료 - UI 구현 완료,@Alice Kim
2024-01-23T16:00:00Z,PROJ-004,blocker,JS,IndexedDB 용량 제한 이슈,@Eve Chen
2024-01-23T15:00:00Z,PROJ-001,progress,Android,50% 완료 - 리스트 아이템 레이아웃 작업 중,@Bob Smith
2024-01-23T10:00:00Z,PROJ-003,progress,Android,100% 완료,@Bob Smith
2024-01-22T14:00:00Z,PROJ-002,status_change,,상태 변경: kickoff → planning,@Alice Kim
